Feat0,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,target
13.630,1.810,2.700,17.200,112,2.850,2.910,0.300,1.460,7.300,1.280,2.880,1310,1
12.330,0.990,1.950,14.800,136,1.900,1.850,0.350,2.760,3.400,1.060,2.310,750,2
13.820,1.750,2.420,14.000,111,3.880,3.740,0.320,1.870,7.050,1.010,3.260,1190,1
12.080,2.080,1.700,17.500,97,2.230,2.170,0.260,1.400,3.300,1.270,2.960,710,2
13.030,0.900,1.710,16.000,86,1.950,2.030,0.240,1.460,4.600,1.190,2.480,392,2
14.370,1.950,2.500,16.800,113,3.850,3.490,0.240,2.180,7.800,0.860,3.450,1480,1
13.170,2.590,2.370,20.000,120,1.650,0.680,0.530,1.460,9.300,0.600,1.620,840,3
12.720,1.750,2.280,22.500,84,1.380,1.760,0.480,1.630,3.300,0.880,2.420,488,2
14.390,1.870,2.450,14.600,96,2.500,2.520,0.300,1.980,5.250,1.020,3.580,1290,1
13.340,0.940,2.360,17.000,110,2.530,1.300,0.550,0.420,3.170,1.020,1.930,750,2
11.660,1.880,1.920,16.000,97,1.610,1.570,0.340,1.150,3.800,1.230,2.140,428,2
11.840,0.890,2.580,18.000,94,2.200,2.210,0.220,2.350,3.050,0.790,3.080,520,2
12.860,1.350,2.320,18.000,122,1.510,1.250,0.210,0.940,4.100,0.760,1.290,630,3
13.750,1.730,2.410,16.000,89,2.600,2.760,0.290,1.810,5.600,1.150,2.900,1320,1
12.530,5.510,2.640,25.000,96,1.790,0.600,0.630,1.100,5.000,0.820,1.690,515,3
13.110,1.900,2.750,25.500,116,2.200,1.280,0.260,1.560,7.100,0.610,1.330,425,3
14.380,1.870,2.380,12.000,102,3.300,3.640,0.290,2.960,7.500,1.200,3.000,1547,1
14.230,1.710,2.430,15.600,127,2.800,3.060,0.280,2.290,5.640,1.040,3.920,1065,1
12.000,1.510,2.420,22.000,86,1.450,1.250,0.500,1.630,3.600,1.050,2.650,450,2
13.230,3.300,2.280,18.500,98,1.800,0.830,0.610,1.870,10.520,0.560,1.510,675,3
14.380,3.590,2.280,16.000,102,3.250,3.170,0.270,2.190,4.900,1.040,3.440,1065,1
14.120,1.480,2.320,16.800,95,2.200,2.430,0.260,1.570,5.000,1.170,2.820,1280,1
12.000,3.430,2.000,19.000,87,2.000,1.640,0.370,1.870,1.280,0.930,3.050,564,2
12.340,2.450,2.460,21.000,98,2.560,2.110,0.340,1.310,2.800,0.800,3.380,438,2
13.480,1.810,2.410,20.500,100,2.700,2.980,0.260,1.860,5.100,1.040,3.470,920,1
13.290,1.970,2.680,16.800,102,3.000,3.230,0.310,1.660,6.000,1.070,2.840,1270,1
13.410,3.840,2.120,18.800,90,2.450,2.680,0.270,1.480,4.280,0.910,3.000,1035,1
13.710,5.650,2.450,20.500,95,1.680,0.610,0.520,1.060,7.700,0.640,1.740,740,3
12.370,1.210,2.560,18.100,98,2.420,2.650,0.370,2.080,4.600,1.190,2.300,678,2
13.200,1.780,2.140,11.200,100,2.650,2.760,0.260,1.280,4.380,1.050,3.400,1050,1
11.450,2.400,2.420,20.000,96,2.900,2.790,0.320,1.830,3.250,0.800,3.390,625,2
13.620,4.950,2.350,20.000,92,2.000,0.800,0.470,1.020,4.400,0.910,2.050,550,3
13.880,1.890,2.590,15.000,101,3.250,3.560,0.170,1.700,5.430,0.880,3.560,1095,1
12.420,2.550,2.270,22.000,90,1.680,1.840,0.660,1.420,2.700,0.860,3.300,315,2
12.810,2.310,2.400,24.000,98,1.150,1.090,0.270,0.830,5.700,0.660,1.360,560,3
12.580,1.290,2.100,20.000,103,1.480,0.580,0.530,1.400,7.600,0.580,1.550,640,3
