Feat0,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,target
12.420,2.550,2.270,22.000,90,1.680,1.840,0.660,1.420,2.700,0.860,3.300,315,2
14.160,2.510,2.480,20.000,91,1.680,0.700,0.440,1.240,9.700,0.620,1.710,660,3
14.380,1.870,2.380,12.000,102,3.300,3.640,0.290,2.960,7.500,1.200,3.000,1547,1
12.290,1.610,2.210,20.400,103,1.100,1.020,0.370,1.460,3.050,0.906,1.820,870,2
11.760,2.680,2.920,20.000,103,1.750,2.030,0.600,1.050,3.800,1.230,2.500,607,2
12.040,4.300,2.380,22.000,80,2.100,1.750,0.420,1.350,2.600,0.790,2.570,580,2
12.370,1.070,2.100,18.500,88,3.520,3.750,0.240,1.950,4.500,1.040,2.770,660,2
12.080,1.130,2.510,24.000,78,2.000,1.580,0.400,1.400,2.200,1.310,2.720,630,2
13.050,1.650,2.550,18.000,98,2.450,2.430,0.290,1.440,4.250,1.120,2.510,1105,1
13.830,1.650,2.600,17.200,94,2.450,2.990,0.220,2.290,5.600,1.240,3.370,1265,1
12.990,1.670,2.600,30.000,139,3.300,2.890,0.210,1.960,3.350,1.310,3.500,985,2
12.370,1.130,2.160,19.000,87,3.500,3.100,0.190,1.870,4.450,1.220,2.870,420,2
14.020,1.680,2.210,16.000,96,2.650,2.330,0.260,1.980,4.700,1.040,3.590,1035,1
12.930,2.810,2.700,21.000,96,1.540,0.500,0.530,0.750,4.600,0.770,2.310,600,3
13.480,1.670,2.640,22.500,89,2.600,1.100,0.520,2.290,11.750,0.570,1.780,620,3
13.830,1.570,2.620,20.000,115,2.950,3.400,0.400,1.720,6.600,1.130,2.570,1130,1
13.670,1.250,1.920,18.000,94,2.100,1.790,0.320,0.730,3.800,1.230,2.460,630,2
12.370,0.940,1.360,10.600,88,1.980,0.570,0.280,0.420,1.950,1.050,1.820,520,2
12.510,1.730,1.980,20.500,85,2.200,1.920,0.320,1.480,2.940,1.040,3.570,672,2
12.520,2.430,2.170,21.000,88,2.550,2.270,0.260,1.220,2.000,0.900,2.780,325,2
13.400,3.910,2.480,23.000,102,1.800,0.750,0.430,1.410,7.300,0.700,1.560,750,3
12.080,1.830,2.320,18.500,81,1.600,1.500,0.520,1.640,2.400,1.080,2.270,480,2
12.290,2.830,2.220,18.000,88,2.450,2.250,0.250,1.990,2.150,1.150,3.300,290,2
14.100,2.160,2.300,18.000,105,2.950,3.320,0.220,2.380,5.750,1.250,3.170,1510,1
13.720,1.430,2.500,16.700,108,3.400,3.670,0.190,2.040,6.800,0.890,2.870,1285,1
12.360,3.830,2.380,21.000,88,2.300,0.920,0.500,1.040,7.650,0.560,1.580,520,3
13.170,5.190,2.320,22.000,93,1.740,0.630,0.610,1.550,7.900,0.600,1.480,725,3
13.520,3.170,2.720,23.500,97,1.550,0.520,0.500,0.550,4.350,0.890,2.060,520,3
13.820,1.750,2.420,14.000,111,3.880,3.740,0.320,1.870,7.050,1.010,3.260,1190,1
11.810,2.120,2.740,21.500,134,1.600,0.990,0.140,1.560,2.500,0.950,2.260,625,2
14.100,2.020,2.400,18.800,103,2.750,2.920,0.320,2.380,6.200,1.070,2.750,1060,1
12.530,5.510,2.640,25.000,96,1.790,0.600,0.630,1.100,5.000,0.820,1.690,515,3
11.410,0.740,2.500,21.000,88,2.480,2.010,0.420,1.440,3.080,1.100,2.310,434,2
11.460,3.740,1.820,19.500,107,3.180,2.580,0.240,3.580,2.900,0.750,2.810,562,2
12.250,3.880,2.200,18.500,112,1.380,0.780,0.290,1.140,8.210,0.650,2.000,855,3
11.820,1.720,1.880,19.500,86,2.500,1.640,0.370,1.420,2.060,0.940,2.440,415,2
13.340,0.940,2.360,17.000,110,2.530,1.300,0.550,0.420,3.170,1.020,1.930,750,2
