Feat0,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,target
12.790,2.670,2.480,22.000,112,1.480,1.360,0.240,1.260,10.800,0.480,1.470,480,3
13.160,3.570,2.150,21.000,102,1.500,0.550,0.430,1.300,4.000,0.600,1.680,830,3
13.200,1.780,2.140,11.200,100,2.650,2.760,0.260,1.280,4.380,1.050,3.400,1050,1
12.810,2.310,2.400,24.000,98,1.150,1.090,0.270,0.830,5.700,0.660,1.360,560,3
12.070,2.160,2.170,21.000,85,2.600,2.650,0.370,1.350,2.760,0.860,3.280,378,2
12.170,1.450,2.530,19.000,104,1.890,1.750,0.450,1.030,2.950,1.450,2.230,355,2
13.820,1.750,2.420,14.000,111,3.880,3.740,0.320,1.870,7.050,1.010,3.260,1190,1
13.520,3.170,2.720,23.500,97,1.550,0.520,0.500,0.550,4.350,0.890,2.060,520,3
13.340,0.940,2.360,17.000,110,2.530,1.300,0.550,0.420,3.170,1.020,1.930,750,2
13.860,1.510,2.670,25.000,86,2.950,2.860,0.210,1.870,3.380,1.360,3.160,410,2
12.930,3.800,2.650,18.600,102,2.410,2.410,0.250,1.980,4.500,1.030,3.520,770,1
13.760,1.530,2.700,19.500,132,2.950,2.740,0.500,1.350,5.400,1.250,3.000,1235,1
12.080,1.830,2.320,18.500,81,1.600,1.500,0.520,1.640,2.400,1.080,2.270,480,2
14.230,1.710,2.430,15.600,127,2.800,3.060,0.280,2.290,5.640,1.040,3.920,1065,1
12.600,2.460,2.200,18.500,94,1.620,0.660,0.630,0.940,7.100,0.730,1.580,695,3
12.510,1.730,1.980,20.500,85,2.200,1.920,0.320,1.480,2.940,1.040,3.570,672,2
13.670,1.250,1.920,18.000,94,2.100,1.790,0.320,0.730,3.800,1.230,2.460,630,2
13.480,1.670,2.640,22.500,89,2.600,1.100,0.520,2.290,11.750,0.570,1.780,620,3
12.770,2.390,2.280,19.500,86,1.390,0.510,0.480,0.640,9.900,0.570,1.630,470,3
12.330,0.990,1.950,14.800,136,1.900,1.850,0.350,2.760,3.400,1.060,2.310,750,2
13.560,1.730,2.460,20.500,116,2.960,2.780,0.200,2.450,6.250,0.980,3.030,1120,1
12.250,4.720,2.540,21.000,89,1.380,0.470,0.530,0.800,3.850,0.750,1.270,720,3
11.820,1.720,1.880,19.500,86,2.500,1.640,0.370,1.420,2.060,0.940,2.440,415,2
12.080,1.130,2.510,24.000,78,2.000,1.580,0.400,1.400,2.200,1.310,2.720,630,2
13.240,2.590,2.870,21.000,118,2.800,2.690,0.390,1.820,4.320,1.040,2.930,735,1
13.870,1.900,2.800,19.400,107,2.950,2.970,0.370,1.760,4.500,1.250,3.400,915,1
14.100,2.160,2.300,18.000,105,2.950,3.320,0.220,2.380,5.750,1.250,3.170,1510,1
13.840,4.120,2.380,19.500,89,1.800,0.830,0.480,1.560,9.010,0.570,1.640,480,3
13.630,1.810,2.700,17.200,112,2.850,2.910,0.300,1.460,7.300,1.280,2.880,1310,1
12.080,1.390,2.500,22.500,84,2.560,2.290,0.430,1.040,2.900,0.930,3.190,385,2
12.200,3.030,2.320,19.000,96,1.250,0.490,0.400,0.730,5.500,0.660,1.830,510,3
11.460,3.740,1.820,19.500,107,3.180,2.580,0.240,3.580,2.900,0.750,2.810,562,2
14.200,1.760,2.450,15.200,112,3.270,3.390,0.340,1.970,6.750,1.050,2.850,1450,1
12.370,1.170,1.920,19.600,78,2.110,2.000,0.270,1.040,4.680,1.120,3.480,510,2
12.080,2.080,1.700,17.500,97,2.230,2.170,0.260,1.400,3.300,1.270,2.960,710,2
14.060,2.150,2.610,17.600,121,2.600,2.510,0.310,1.250,5.050,1.060,3.580,1295,1
13.170,2.590,2.370,20.000,120,1.650,0.680,0.530,1.460,9.300,0.600,1.620,840,3
11.610,1.350,2.700,20.000,94,2.740,2.920,0.290,2.490,2.650,0.960,3.260,680,2
12.450,3.030,2.640,27.000,97,1.900,0.580,0.630,1.140,7.500,0.670,1.730,880,3
12.370,1.070,2.100,18.500,88,3.520,3.750,0.240,1.950,4.500,1.040,2.770,660,2
14.380,3.590,2.280,16.000,102,3.250,3.170,0.270,2.190,4.900,1.040,3.440,1065,1
12.670,0.980,2.240,18.000,99,2.200,1.940,0.300,1.460,2.620,1.230,3.160,450,2
14.190,1.590,2.480,16.500,108,3.300,3.930,0.320,1.860,8.700,1.230,2.820,1680,1
13.940,1.730,2.270,17.400,108,2.880,3.540,0.320,2.080,8.900,1.120,3.100,1260,1
14.130,4.100,2.740,24.500,96,2.050,0.760,0.560,1.350,9.200,0.610,1.600,560,3
12.160,1.610,2.310,22.800,90,1.780,1.690,0.430,1.560,2.450,1.330,2.260,495,2
12.290,1.610,2.210,20.400,103,1.100,1.020,0.370,1.460,3.050,0.906,1.820,870,2
13.490,1.660,2.240,24.000,87,1.880,1.840,0.270,1.030,3.740,0.980,2.780,472,2
13.410,3.840,2.120,18.800,90,2.450,2.680,0.270,1.480,4.280,0.910,3.000,1035,1
14.300,1.920,2.720,20.000,120,2.800,3.140,0.330,1.970,6.200,1.070,2.650,1280,1
