Feat0,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Feat8,Feat9,Feat10,Feat11,Feat12,target
13.870,1.900,2.800,19.400,107,2.950,2.970,0.370,1.760,4.500,1.250,3.400,915,1
12.370,1.210,2.560,18.100,98,2.420,2.650,0.370,2.080,4.600,1.190,2.300,678,2
13.500,3.120,2.620,24.000,123,1.400,1.570,0.220,1.250,8.600,0.590,1.300,500,3
13.050,1.650,2.550,18.000,98,2.450,2.430,0.290,1.440,4.250,1.120,2.510,1105,1
12.250,4.720,2.540,21.000,89,1.380,0.470,0.530,0.800,3.850,0.750,1.270,720,3
13.390,1.770,2.620,16.100,93,2.850,2.940,0.340,1.450,4.800,0.920,3.220,1195,1
11.030,1.510,2.200,21.500,85,2.460,2.170,0.520,2.010,1.900,1.710,2.870,407,2
13.740,1.670,2.250,16.400,118,2.600,2.900,0.210,1.620,5.850,0.920,3.200,1060,1
13.490,1.660,2.240,24.000,87,1.880,1.840,0.270,1.030,3.740,0.980,2.780,472,2
11.640,2.060,2.460,21.600,84,1.950,1.690,0.480,1.350,2.800,1.000,2.750,680,2
12.510,1.240,2.250,17.500,85,2.000,0.580,0.600,1.250,5.450,0.750,1.510,650,3
12.430,1.530,2.290,21.500,86,2.740,3.150,0.390,1.770,3.940,0.690,2.840,352,2
11.840,2.890,2.230,18.000,112,1.720,1.320,0.430,0.950,2.650,0.960,2.520,500,2
14.190,1.590,2.480,16.500,108,3.300,3.930,0.320,1.860,8.700,1.230,2.820,1680,1
13.630,1.810,2.700,17.200,112,2.850,2.910,0.300,1.460,7.300,1.280,2.880,1310,1
13.620,4.950,2.350,20.000,92,2.000,0.800,0.470,1.020,4.400,0.910,2.050,550,3
11.460,3.740,1.820,19.500,107,3.180,2.580,0.240,3.580,2.900,0.750,2.810,562,2
11.840,0.890,2.580,18.000,94,2.200,2.210,0.220,2.350,3.050,0.790,3.080,520,2
13.520,3.170,2.720,23.500,97,1.550,0.520,0.500,0.550,4.350,0.890,2.060,520,3
12.720,1.810,2.200,18.800,86,2.200,2.530,0.260,1.770,3.900,1.160,3.140,714,2
